idkec;sum;min;max;mean;median;std
1673020;249.5802155;-1.5;3.688213587;0.452138071;0.35888955;0.340051981
1673030;262.7807007;0.218678832;7.294247627;1.122994447;0.415402293;1.352027301
1673040;234.0632019;0.254100293;7.643098831;1.176196994;0.537225187;1.396879349
1674011;299.9442444;0.235507086;12.00101185;1.153631709;0.601846218;1.476646023
1674012;103.4998627;0.465750486;16.75246239;2.797293586;1.392200112;3.453230292
1674021;302.8276062;0.214532673;4.214147091;0.786565211;0.51623702;0.657449587
1674022;308.2904663;-1.5;10.33888912;2.111578536;1.033616543;2.338097711
1674031;352.571228;0.976153493;14.6308794;6.295914786;6.746666908;3.282538636
1674032;245.9049377;0.469299853;18.92991066;4.72894111;2.075329304;4.990106153
1674041;320.128418;0.178143322;2.504586458;0.527394428;0.421566308;0.335462336
1674042;414.2614746;-1.5;16.71532249;2.557169596;1.111856103;3.37746635
