idkec;nmkec;NDTI
1608071;RUNJUNG AGUNG;0.249444445
1608080;KISAM TINGGI;0.224635415
1608090;MUARADUA KISAM;0.210842083
1608091;KISAM ILIR;0.225749427
1608100;PULAU BERINGIN;0.228911524
1608101;SINDANG DANAU;0.219656347
1608102;SUNGAI ARE;0.250888153
1609010;MARTAPURA;0.244504887
1609011;BUNGA MAYANG;0.253009388
1609012;JAYA PURA;0.264826858
1609020;BUAY PEMUKA PELIUNG;0.237291408
1609030;BUAY MADANG;0.228574613
1609031;BUAY MADANG TIMUR;0.234628665
1609032;BUAY PEMUKA BANGSA RAJA;0.252867557
1609040;MADANG SUKU II;0.242804653
1609041;MADANG SUKU III;0.239682436
1609050;MADANG SUKU I;0.229741061
1609051;BELITANG MADANG RAYA;0.23102484
1609060;BELITANG;0.213776735
1609061;BELITANG JAYA;0.233811293
1609070;BELITANG III;0.228607725
1609080;BELITANG II;0.217033328
1609081;BELITANG MULYA;0.212221689
1609090;SEMENDAWAI SUKU III;0.222208052
1609091;SEMENDAWAI TIMUR;0.224572421
1609100;CEMPAKA;0.226527993
1609101;SEMENDAWAI BARAT;0.224768893
1610010;MUARA KUANG;0.233388265
1610011;RAMBANG KUANG;0.242963873
1610012;LUBUK KELIAT;0.226755148
1610020;TANJUNG BATU;0.218498115
1610021;PAYARAMAN;0.234764693
1610030;RANTAU ALAI;0.226240408
1610031;KANDIS;0.219513221
1610040;TANJUNG RAJA;0.215466622
1610041;RANTAU PANJANG;0.20629873
1610042;SUNGAI PINANG;0.210725929
1610050;PEMULUTAN;0.193045734
1610051;PEMULUTAN SELATAN;0.206686622
1610052;PEMULUTAN BARAT;0.197546926
1610060;INDRALAYA;0.203329313
1610061;INDRALAYA UTARA;0.217891388
1610062;INDRALAYA SELATAN;0.214113446
1611010;MUARA PINANG;0.250013251
1611020;LINTANG KANAN;0.248902341
1611030;PENDOPO;0.257956692
1611031;PENDOPO BARAT;0.257975865
1611040;PASEMAH AIR KERUH;0.252369939
1611050;ULU MUSI;0.279364771
1611051;SIKAP DALAM;0.271888727
1611060;TALANG PADANG;0.248758288
1611070;TEBING TINGGI;0.253583441
1611071;SALING;0.244055911
1612010;TALANG UBI;0.244578028
1612020;TANAH ABANG;0.253065327
1612030;ABAB;0.245913237
1612040;PENUKAL;0.252753597
1612050;PENUKAL UTARA;0.244794406
1613010;ULU RAWAS;0.240941835
1613020;KARANG JAYA;0.243150135
1613030;RAWAS ULU;0.253149433
1613040;RUPIT;0.251737177
1613050;KARANG DAPO;0.236738828
1613060;RAWAS ILIR;0.233447803
1613070;NIBUNG;0.241418123
1671010;ILIR BARAT II;0.142756668
1671011;GANDUS;0.209597204
1671020;SEBERANG ULU I;0.143391098
