idkec;nmkec;UI
1610062;INDRALAYA SELATAN;77.00722389
1611010;MUARA PINANG;73.56274409
1611020;LINTANG KANAN;73.20941933
1611030;PENDOPO;72.52916205
1611031;PENDOPO BARAT;73.02351596
1611040;PASEMAH AIR KERUH;76.15815833
1611050;ULU MUSI;72.21574065
1611051;SIKAP DALAM;72.88521477
1611060;TALANG PADANG;73.00557488
1611070;TEBING TINGGI;73.36960643
1611071;SALING;73.14044981
1612010;TALANG UBI;76.35074776
1612020;TANAH ABANG;77.48129679
1612030;ABAB;79.80258045
1612040;PENUKAL;77.47612955
1612050;PENUKAL UTARA;76.31684427
1613010;ULU RAWAS;74.01774961
1613020;KARANG JAYA;73.05692751
1613030;RAWAS ULU;75.47097543
1613040;RUPIT;75.28669917
1613050;KARANG DAPO;76.74038316
1613060;RAWAS ILIR;75.5576765
1613070;NIBUNG;76.60883135
1671010;ILIR BARAT II;86.59231017
1671011;GANDUS;78.85201986
1671020;SEBERANG ULU I;87.22600629
1671021;KERTAPATI;78.72820225
1671022;JAKABARING;83.0588865
1671030;SEBERANG ULU II;86.66852392
1671031;PLAJU;80.41812934
1671040;ILIR BARAT I;81.69569363
1671041;BUKIT KECIL;88.54568006
1671050;ILIR TIMUR I;89.97612511
1671051;KEMUNING;88.93688243
1671060;ILIR TIMUR II;84.91633177
1671061;KALIDONI;80.21909779
1671062;ILIR TIMUR TIGA;87.2019552
1671070;SAKO;83.47024786
1671071;SEMATANG BORANG;79.19151182
1671080;SUKARAMI;82.79519604
1671081;ALANG ALANG LEBAR;83.15541568
1672010;RAMBANG KAPAK TENGAH;75.97438312
1672020;PRABUMULIH TIMUR;78.32546765
1672021;PRABUMULIH SELATAN;76.68930134
1672030;PRABUMULIH BARAT;76.38670645
1672031;PRABUMULIH UTARA;78.02049924
1672040;CAMBAI;77.2387654
1673010;DEMPO SELATAN;77.10776329
1673011;DEMPO TENGAH;76.57881435
1673020;DEMPO UTARA;73.29139011
1673030;PAGAR ALAM SELATAN;75.72129798
1673040;PAGAR ALAM UTARA;75.45689439
1674011;LUBUK LINGGAU BARAT I;75.46199547
1674012;LUBUK LINGGAU BARAT II;77.10806068
1674021;LUBUK LINGGAU SELATAN I;74.3446528
1674022;LUBUK LINGGAU SELATAN II;75.75926373
1674031;LUBUK LINGGAU TIMUR I;79.53017257
1674032;LUBUK LINGGAU TIMUR II;78.219354
1674041;LUBUK LINGGAU UTARA I;73.63650064
1674042;LUBUK LINGGAU UTARA II;75.93288286
