;Provinsi;Kecamatan;Rata2 Kapita;SE;VAR;CI LOWER;CI UPPER;RSE;DEFF
225;16;1672021;868313.5869;226094.3574;51118658440;42517678.93;131145038.4;26.03833002;3.540446273
226;16;1672030;744425.4545;77874.19828;6064390758;59179483.06;89705607.85;10.46098005;1.680861788
227;16;1672031;825685.0263;78255.14106;6123867103;67230776.82;97906228.43;9.477602061;1.838987513
228;16;1672040;876647.7791;143617.0101;20625845582;59516361.18;115813194.6;16.38252141;2.033227538
229;16;1673010;1048929.293;218769.8369;47860241540;62014829.19;147771029.4;20.85649036;0.656722511
230;16;1673011;787752.1519;44427.48591;1973801504;70067587.96;87482842.42;5.639779695;0.947756145
231;16;1673020;875062.1208;58306.45379;3399642553;76078357.13;98934067.03;6.663121669;0.78504799
232;16;1673030;1043526.443;80327.89858;6452571290;88608665.48;120096623.1;7.697734841;2.857186623
233;16;1673040;883058.8559;79899.85264;6383986452;72645802.24;103965968.9;9.048077838;2.654597627
234;16;1674011;922842.4904;85979.53639;7392480677;75432569.57;109135928.5;9.316815955;1.458199698
235;16;1674012;1084927.361;97122.08075;9432698569;89457158.08;127528314.2;8.951943164;1.173308943
236;16;1674021;1027134.356;90734.52946;8232754836;84929794.63;120497076.6;8.833754699;1.239842104
237;16;1674022;1518647.363;197151.7088;38868796297;113223711.5;190505761.2;12.9820598;2.973033582
238;16;1674031;1453424.61;237826.5392;56561462752;98729315.84;191955606.1;16.36318373;4.093185136
239;16;1674032;1293205.329;170593.671;29102200581;95884787.83;162756278.1;13.19153789;1.712522052
240;16;1674041;860707.3623;34946.69149;1221271246;79221310.56;92920161.9;4.060229181;0.799351343
241;16;1674042;898031.2908;86859.68838;7544605466;72778942.98;106827315.2;9.672234061;1.285168542
242;63;6301010;1076514.429;80064.44857;6410315925;91959099.32;123343786.4;7.437378118;1.645716809
243;63;6301020;1169115.01;117042.354;13698912638;93971621.17;139851380.9;10.01119248;1.57744258
244;63;6301030;937127.9103;3567.756375;12728885.55;93013523.63;94412058.43;0.380711783;0.002027605
245;63;6301031;1035989.976;41722.9107;1740801277;95421457.37;111776537.8;4.02734695;0.729766116
246;63;6301040;1009314.691;93305.81158;8705974474;82643866.04;119219072.1;9.244471763;3.748156887
247;63;6301050;985641.1387;31682.94114;1003808759;92354371.52;104773856.2;3.214449954;0.634658
248;63;6301060;1175088.371;120722.3356;14573882311;93847694.09;141169980.1;10.27346867;3.451527478
249;63;6301061;1272849.807;72701.03172;5285440013;113035840.3;141534121.1;5.711674019;1.013189942
250;63;6301070;1449061.769;154783.2842;23957865074;114569210.7;175243143.2;10.68162086;5.280415087
251;63;6301080;1329101.01;63383.25961;4017437598;120487210.4;145332991.6;4.76888206;0.97508644
252;63;6301090;1186339.309;43356.73561;1879806522;110136166.9;127131694.9;3.654665682;0.934576536
253;63;6302020;892355.0601;9277.457637;86071220.2;87417157.73;91053854.29;1.03965989;0.010193352
254;63;6302021;833543.031;44323.22797;1964548538;74667110.05;92041496.16;5.317449289;0.08536861
255;63;6302030;1065809.433;307179.8841;94359481209;46374792.32;166787094.2;28.82127655;5.063835264
256;63;6302031;845668.6103;62006.65348;3844825076;72413780.27;96719941.79;7.332263812;1.134616076
257;63;6302040;1612624.909;105532.3516;11137077227;140578530.1;181946451.8;6.544135028;0.364503634
258;63;6302050;1400059.53;24931.91739;621600504.7;135119387;144892519;1.780775521;0.049032479
259;63;6302060;1414937.445;244393.1084;59727991447;93593575.47;189393913.6;17.27236135;4.319624422
260;63;6302061;1374286.719;93769.44961;8792709680;119050197.5;155807146.3;6.823135836;1.306122697
261;63;6302062;1088719.671;139873.4286;19564576023;81457278.84;136286655.3;12.84751551;2.168600837
262;63;6302120;1307408.674;86306.99898;7448898073;113825006.5;147656728.4;6.601378793;0.388884993
263;63;6302121;1517615.143;114618.1761;13137326283;129296764.6;174226264;7.552519267;0.794729781
264;63;6302130;940200.067;62218.78715;3871177474;81825348.51;106214664.9;6.617611435;0.892626467
265;63;6302140;1042101.862;86654.28235;7508964649;87226258.98;121194113.5;8.315337059;0.269304342
266;63;6302150;1324394.989;164714.6123;27130903516;100156028.1;164722969.7;12.43697037;3.009000824
267;63;6302160;1019045.839;38069.39052;1449278494;94443120.51;109366047.4;3.735787837;1.060257931
268;63;6302161;1298008.518;162312.109;26345220720;97988263.06;161613440.6;12.50470291;1.475081205
269;63;6302170;756533.2124;1928.351792;3718540.633;75275371.24;76031271.25;0.25489321;0.003341699
270;63;6302180;1515890.827;322368.4622;1.03921E+11;88406025.12;214772140.3;21.26594188;4.895158293
271;63;6302190;1653209.397;130979.6774;17155675884;139649394.7;190992484.8;7.922751806;0.715546031
272;63;6302200;1461523.75;262103.2639;68698120938;94781079.29;197523670.8;17.93356172;4.234646074
273;63;6302201;1526976.76;161328.319;26026826504;121077906.5;184317445.5;10.56521116;2.269982475
