idkec;nmkec;residential;secondary;service;tertiary;track;unclassified;living_street;footway;path;motorway;motorway_link;services;trunk;trunk_link;primary;proposed;construction;secondary_link;primary_link;tertiary_link;pedestrian;raceway;cycleway;steps;corridor
1605030;SUKU TENGAH LAKITAN ULU;82225.765;13018.465;13691.16;0;873.479;98721.981;0;0;0;0;0;0;21722.019;0;0;0;0;0;0;0;0;0;0;0;0
1605031;SELANGIT;26267.012;0;8883.643;0;3328.517;38118.459;0;0;0;0;0;0;15134.46;0;0;0;0;0;0;0;0;0;0;0;0
1605032;SUMBER HARTA;77423.99;9821.042;1442.911;19815.41;0;33653.587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605040;TUGUMULYO;176943.292;16392.097;4529.829;8070.304;4660.657;56023.169;0;0;90.271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605041;PURWODADI;69831.861;8781.215;1164.874;19771.647;0;32223.567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605050;MUARA BELITI;77576.045;11696.032;37155.391;26880.347;2568.378;69694.652;0;262.75;191.023;0;0;0;12997.679;0;4685.955;0;0;0;0;12.002;0;0;0;0;0
1605051;TIANG PUMPUNG KEPUNGUT;13144.653;0;23586.907;0;1708.252;41585.992;0;0;0;0;0;0;30340.821;0;0;0;0;0;0;0;0;0;0;0;0
1605060;JAYALOKA;39972.742;0;18626.044;0;1454.159;110466.132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605061;SUKA KARYA;35899.07;0;21248.961;0;1910.299;79229.472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605070;MUARA KELINGI;138098.426;0;74306.925;25258.99;88132.369;171935.316;0;0;160.371;0;0;0;0;0;33802.51;0;0;0;0;0;0;0;0;0;0
1605071;BULANG TENGAH SUKU ULU;98931.777;0;153670.055;0;8950.308;359192.93;0;0;236.881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605072;TUAH NEGERI;62632.786;0;32008.863;0;0;72089.102;0;0;0;0;0;0;0;0;23732.314;0;0;0;0;0;0;0;0;0;0
1605080;MUARA LAKITAN;102277.489;0;552002.513;31937.326;68317.74;465090.865;71.13;0;0;0;0;0;0;0;28843.715;0;0;0;0;0;0;0;0;0;0
1605090;MEGANG SAKTI;185305.115;0;13391.577;24733.233;30723.67;204022.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606010;SANGA DESA;35598.961;0;175865.604;50581.852;30256.88;86957.296;389.804;0;0;0;0;0;0;0;40872.619;0;0;0;0;0;0;0;0;0;0
1606020;BABAT TOMAN;50465.056;0;154344.396;60296.554;28049.552;33826.252;269.36;0;270.632;0;0;0;0;0;32146.379;0;0;0;0;0;0;0;0;0;0
1606021;BATANGHARI LEKO;57114.824;8944.113;90330.269;177810.459;457472.318;158109.957;353.953;0;28243.609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606022;PLAKAT TINGGI;80742.091;0;82536.19;29844.663;7336.482;132112.949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606023;LAWANG WETAN;35340.252;13497.336;70069.877;0;10728.141;124549.555;0;0;0;0;0;0;0;0;23847.865;0;0;0;0;0;0;0;0;0;0
1606030;SUNGAI KERUH;12652.337;31984.392;45130.476;51113.709;6892.829;110517.08;0;0;0;0;0;0;0;0;42727.757;0;0;0;0;0;0;0;0;0;0
1606031;JIRAK JAYA;25413.967;0;14372.815;0;37493.086;142087.046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606040;SEKAYU;125739.092;11488.694;66529.749;74220.06;20002.818;121579.678;115.125;0;0;0;0;0;0;0;90917.727;0;0;0;30.371;0;0;2106.338;0;0;0
1606041;LAIS;115298.989;0;67838.679;58016.385;6973.536;121909.123;0;0;148.358;0;0;0;0;0;37081.519;0;0;0;0;0;0;0;0;0;0
1606090;SUNGAI LILIN;267070.824;0;48425.08;43903.388;8645.411;135572.095;0;0;0;0;0;0;36576.067;0;0;0;0;0;0;0;0;0;0;0;0
1606091;KELUANG;157284.285;0;21333.557;37158.01;3235.963;170930.139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606092;BABAT SUPAT;168594.728;0;80785.737;50421.367;7077.157;121385.028;0;0;0;0;0;0;36844.402;0;0;40175.821;0;0;0;0;0;0;0;0;0
1606100;BAYUNG LENCIR;356292.898;0;644846.384;209789.372;550296.066;517785.416;790.746;0;8959.063;0;0;0;59640.78;0;0;0;0;0;0;0;0;0;0;0;0
1606101;LALAN;571134.679;0;100666.365;22862.851;64271.754;275040.024;0;0;175.706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606102;TUNGKAL JAYA;291472.383;0;176882.608;157532.025;111466.333;245553.417;396.018;0;0;0;0;0;36377.843;0;0;0;0;0;0;0;0;0;0;0;0
1607010;RANTAU BAYUR;73305.534;0;10820.82;116922.317;19213.269;81078.257;0;0;8229.653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607020;BETUNG;175073.548;0;41946.735;10194.046;12783.123;102069.078;0;0;0;0;0;0;28142.29;0;5958.318;40175.821;0;0;0;0;0;0;0;0;0
1607021;SUAK TAPEH;53596.275;0;192656.222;17528.374;18483.002;68845.582;0;0;387.804;0;0;0;18712.724;0;0;40175.821;12670.263;0;0;0;0;0;0;0;0
1607030;PULAU RIMAU;185337.771;0;32659.258;0;85070.574;161023.084;0;0;501.142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607031;TUNGKAL ILIR;204421.417;0;62350.027;34076.362;25609.959;183646.107;0;0;986.229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607032;SELAT PENUGUAN;212031.227;0;48004.252;0;36968.855;121267.523;0;0;886.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607040;BANYUASIN III;128154.95;18772.523;67138.753;82740.896;1864.254;58685.174;0;0;1164.001;0;0;0;33465.922;0;0;0;108058.326;122.799;0;0;0;0;0;0;0
1607041;SEMBAWA;178246.912;0;46363.082;21431.784;2771.474;64202.01;0;0;0;0;0;0;22760.339;0;0;0;95388.063;0;0;0;0;0;0;0;0
1607050;TALANG KELAPA;696264.411;6303.499;230719.333;62185.519;55126.324;107814.547;1431.444;91.343;5273.903;0;0;0;12328.792;0;12713.454;0;95388.063;0;0;0;0;0;0;0;0
1607051;TANJUNG LAGO;242766.718;0;48337.558;15069.154;148311.252;196945.255;0;0;12982.385;0;0;0;0;0;24368.774;0;0;0;0;0;0;0;0;0;0
1607060;BANYUASIN I;216072.566;0;64599.165;28813.235;14948.414;43395.583;0;0;3906.352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607061;AIR KUMBANG;235449.875;0;34046.455;42366.604;13814.036;66823.555;0;0;179.359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607070;RAMBUTAN;230350.185;70243.081;77899.284;5077.779;46709.085;61796.198;2587.329;968.764;6256.018;0;0;0;0;0;5810.598;0;0;76.842;0;0;0;0;0;0;0
1607080;MUARA PADANG;200194.344;0;16436.124;46421.433;5716.013;156383.246;0;0;29810.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
