idkec;nmkec;Trees;Crops;Shrub and Scrub;Built Area;Cloud;Water;Grass;Flooded Vegetation;Bare Ground
1611030;PENDOPO;103.385;22.5366;4.4658;4.5205;0;0.9912;0;0;0
1611031;PENDOPO BARAT;85.6079;1.4538;1.9825;0.3265;0;0.9912;0;0;0
1611040;PASEMAH AIR KERUH;64.3959;38.5529;0.9911;0.9911;0;0;0.9912;0;0
1611050;ULU MUSI;208.349;3.0747;0;2.9737;0;0;0.4043;0;0
1611051;SIKAP DALAM;94.0026;0;10.4863;0.9912;0;0;0.5831;0;0
1611060;TALANG PADANG;118.7851;0.9913;1.9826;0;0;0;0;0;0
1611070;TEBING TINGGI;336.8609;2.9312;2.9119;4.9648;0;0.9914;1.9826;0;0
1611071;SALING;113.503;0;0;0.9837;0;0;0;0;0
1612010;TALANG UBI;668.2832;7.9685;0.9917;13.4873;0;1.0383;0;0.4122;0
1612020;TANAH ABANG;100.2653;6.3937;0.3811;6.0823;0;5.8567;0;56.7219;0
1612030;ABAB;141.8892;176.0416;14.107;3.9673;0;3.606;1.8009;27.9873;0
1612040;PENUKAL;301.4284;31.7767;3.9637;1.9835;0;0.0895;0;6.7492;0
1612050;PENUKAL UTARA;290.0832;26.7826;6.9475;1.9838;0.9919;0;2.5596;3.2326;0
1613010;ULU RAWAS;1447.2591;0;0;0;0;0.9922;0;0;0
1613020;KARANG JAYA;1377.4097;10.5429;3.9683;1.9842;0;0;2.9762;0.9921;0
1613030;RAWAS ULU;459.9076;0;15.6746;2.9768;0;2.9768;0.9923;0;0
1613040;RUPIT;347.4678;36.1927;3.9686;3.9689;0;0;0.9922;0;0
1613050;KARANG DAPO;390.2247;114.3823;9.6147;0.9922;0;1.9845;1.9844;0;0
1613060;RAWAS ILIR;851.2004;84.4042;39.6173;2.9769;0;4.0079;10.1603;8.9576;0
1613070;NIBUNG;550.5918;27.8445;29.1617;2.9772;0;0;2.9381;0;0
1671010;ILIR BARAT II;0;0;0;4.1819;0;0.0739;0;0;0
1671011;GANDUS;23.7415;10.1181;0.0895;11.1529;0;3.3727;0;1.486;0
1671020;SEBERANG ULU I;0;0;0;4.4114;0;0.249;0;0;0
1671021;KERTAPATI;1.3342;23.83;2.8474;9.7988;0;3.6061;0;1.5171;0
1671022;JAKABARING;0.7236;1.1592;0;11.5651;0;0.9725;0;0;0
1671030;SEBERANG ULU II;0;0;0;7.4768;0;0.3657;0;0;0
1671031;PLAJU;0.2645;2.4507;0;14.6189;0;1.7739;0.8675;0;0
1671040;ILIR BARAT I;15.7128;3.5751;0.0039;19.0502;0;0;0;0;0
1671041;BUKIT KECIL;0;0;0;2.3963;0;0;0;0;0
1671050;ILIR TIMUR I;0;0;0;5.1779;0;0;0;0;0
1671051;KEMUNING;0;0;0;6.4812;0;0;0;0;0
1671060;ILIR TIMUR II;0;0.5641;0;7.2903;0;1.3149;0;0;0
1671061;KALIDONI;0;7.5199;0;20.9257;0;4.0964;0;0;0
1671062;ILIR TIMUR TIGA;0;0;0;6.843;0;0;0.992;0;0
1671070;SAKO;5.1315;0;0;12.5115;0;0;0;0;0
1671071;SEMATANG BORANG;11.2238;4.2249;0;9.5507;0;0;0;0;0
1671080;SUKARAMI;4.404;2.9568;0;43.534;0;0;0;0;0
1671081;ALANG ALANG LEBAR;4.8395;3.9525;0.4085;23.2136;0;0;0;0;0
1672010;RAMBANG KAPAK TENGAH;124.981;0;0;0.9915;0;0;0.5405;0;0
1672020;PRABUMULIH TIMUR;53.755;0;0;16.717;0;0;0;0;0
1672021;PRABUMULIH SELATAN;42.0013;0;0;5.7938;0;0;0;0;0
1672030;PRABUMULIH BARAT;106.5013;0.0039;0.0117;5.58;0;1.1122;0.3849;3.4728;0
1672031;PRABUMULIH UTARA;13.8473;0;0;3.1419;0;0;0;0;0
1672040;CAMBAI;69.5928;0;0;4.367;0;0;0;4.5578;0
1673010;DEMPO SELATAN;197.1764;11.8902;2.7201;0;0;0;0;0;0
1673011;DEMPO TENGAH;179.1978;4.391;2.9724;0.9909;0;0;0;0;0
1673020;DEMPO UTARA;100.6841;8.611;0;6.5786;0;0;0.5518;0;0
1673030;PAGAR ALAM SELATAN;22.2469;16.0137;0.4547;8.1022;0;0;2.417;0;0
1673040;PAGAR ALAM UTARA;27.2606;9.3848;0.0622;6.9015;0;0;0;0;0
1674011;LUBUK LINGGAU BARAT I;49.7132;0;0;5.7985;0;0;0;0;0
1674012;LUBUK LINGGAU BARAT II;6.1137;0;0;1.5595;0;0;0;0;0
1674021;LUBUK LINGGAU SELATAN I;78.1829;2.0223;0;2.0262;0;0;0;0;0
1674022;LUBUK LINGGAU SELATAN II;19.069;6.18;0;5.7676;0;0;0;0;0
1674031;LUBUK LINGGAU TIMUR I;5.7091;0;0;6.2303;0;0;0;0;0
1674032;LUBUK LINGGAU TIMUR II;6.934;0;0;3.8774;0;0;0;0;0
1674041;LUBUK LINGGAU UTARA I;123.7215;2.7576;0;1.9991;0;0;0;0;0
1674042;LUBUK LINGGAU UTARA II;25.9528;0;0;8.9644;0;0;0;0;0
