idkec;nmkec;Trees;Crops;Shrub and Scrub;Built Area;Cloud;Water;Grass;Flooded Vegetation;Bare Ground
1603033;LUBAI ULU;0.9687;0.0059;0.0178;0.0039;0.0017;0;0;0;0.0019
1603040;LAWANG KIDUL;0.7702;0.0173;0.1252;0.0672;0;0.0056;0.0075;0;0.007
1603050;MUARA ENIM;0.789;0.0569;0.0432;0.1002;0;0.0108;0;0;0
1603051;UJAN MAS;0.8197;0.1187;0.0152;0.0224;0;0.0076;0.0164;0;0
1603060;GUNUNG MEGANG;0.9512;0.0213;0.0195;0;0;0.008;0;0;0
1603061;BENAKAT;0.8823;0.0644;0.0331;0;0;0.0011;0.0191;0;0
1603062;BELIMBING;0.9298;0;0;0.0337;0;0.0282;0;0.0082;0
1603070;RAMBANG NIRU;0.948;0.0322;0.0119;0.0049;0;0;0.003;0;0
1603071;EMPAT PETULAI DANGKU;0.7053;0.028;0.0205;0.0412;0;0.1024;0.0101;0.0926;0
1603090;GELUMBANG;0.8642;0.0567;0.0449;0.0234;0.0013;0;0.0014;0.008;0
1603091;LEMBAK;0.986;0;0;0.0108;0;0.0015;0;0.0016;0
1603092;SUNGAI ROTAN;0.5808;0.2119;0.0223;0.0061;0;0.0024;0;0.1764;0
1603093;MUARA BELIDA;0.3481;0.1101;0.1207;0.0107;0;0.0347;0.0169;0.3588;0
1603094;KELEKAR;0.9472;0.0148;0.007;0;0;0;0;0.031;0
1603095;BELIDA DARAT;1;0;0;0;0;0;0;0;0
1604011;TANJUNG SAKTI PUMI;0.9491;0.0457;0.0052;0;0;0;0;0;0
1604012;TANJUNG SAKTI PUMU;0.9679;0.0321;0;0;0;0;0;0;0
1604040;KOTA AGUNG;0.8156;0.09;0.0873;0.0041;0;0;0.0029;0;0
1604041;MULAK ULU;0.8943;0.085;0.0207;0;0;0;0;0;0
1604042;TANJUNG TEBAT;0.7309;0.2559;0.0133;0;0;0;0;0;0
1604043;MULAK SEBINGKAI;0.8793;0.1207;0;0;0;0;0;0;0
1604050;PULAU PINANG;0.944;0;0;0.0171;0;0.0185;0.0205;0;0
1604051;PAGAR GUNUNG;0.922;0.0684;0.0018;0.0078;0;0;0;0;0
1604052;GUMAY ULU;0.9791;0;0.0209;0;0;0;0;0;0
1604060;JARAI;0.8672;0.1078;0.0044;0.0206;0;0;0;0;0
1604061;PAJAR BULAN;0.8901;0.0115;0.0885;0.0099;0;0;0;0;0
1604062;MUARA PAYANG;0.9998;0.0002;0;0;0;0;0;0;0
1604063;SUKAMERINDU;0.7752;0.2107;0;0.0141;0;0;0;0;0
1604111;KIKIM BARAT;0.9321;0.0386;0.0192;0;0;0;0.0101;0;0
1604112;KIKIM TIMUR;0.9767;0.0037;0.0139;0.0019;0;0;0.0037;0;0
1604113;KIKIM SELATAN;0.9457;0.036;0.0147;0.0036;0;0;0;0;0
1604114;KIKIM TENGAH;0.8982;0.0549;0.0377;0;0;0;0.0092;0;0
1604120;LAHAT;0.8558;0.0378;0.0101;0.0816;0;0.0068;0.0079;0;0
1604121;GUMAY TALANG;0.9826;0.0129;0.0044;0;0;0;0;0;0
1604122;PSEKSU;0.988;0;0.0037;0;0.0083;0;0;0;0
1604123;LAHAT SELATAN;0.7744;0.0652;0;0.0423;0;0.0055;0.1127;0;0
1604131;MERAPI BARAT;0.7833;0.0124;0.0795;0.0518;0;0.0267;0;0;0.0462
1604132;MERAPI TIMUR;0.8401;0.0812;0.0465;0.0131;0;0.0049;0.0024;0.0024;0.0094
1604133;MERAPI SELATAN;0.9093;0.0549;0.0269;0.009;0;0;0;0;0
1605030;SUKU TENGAH LAKITAN ULU;0.9515;0.0286;0.0017;0.0119;0;0.0046;0;0.0016;0
1605031;SELANGIT;0.9966;0;0.0019;0;0.0015;0;0;0;0
1605032;SUMBER HARTA;0.6487;0.3035;0;0.041;0;0.0065;0;0.0003;0
1605040;TUGUMULYO;0.2519;0.5699;0;0.1578;0;0.0204;0;0;0
1605041;PURWODADI;0.4911;0.4206;0;0.0883;0;0;0;0;0
1605050;MUARA BELITI;0.8403;0.1269;0;0.0228;0;0.0019;0.0053;0.0028;0
1605051;TIANG PUMPUNG KEPUNGUT;0.9659;0;0.0158;0;0;0;0.0042;0.0142;0
1605060;JAYALOKA;0.9552;0.0012;0;0.0255;0;0;0.0181;0;0
1605061;SUKA KARYA;0.9599;0;0;0.0082;0;0;0;0.0319;0
1605070;MUARA KELINGI;0.9685;0.0173;0.0047;0.0095;0;0;0;0;0
1605071;BULANG TENGAH SUKU ULU;0.9595;0.006;0.0163;0.0038;0;0;0.0144;0;0
1605072;TUAH NEGERI;0.9551;0.0112;0;0.0225;0;0;0.0112;0;0
1605080;MUARA LAKITAN;0.8992;0.0631;0.0263;0.0035;0;0.0023;0.0056;0;0
